s->d,std,mean,max,min,num
192.168.1.41->192.168.1.55,0.0008926020130852895,0.02011974734118861,0.036074161529541016,0.0004911422729492188,5851
192.168.1.41->192.168.1.54,0.0009049429743407709,0.02011981130237152,0.0368809700012207,0.0006320476531982422,5852
192.168.1.41->192.168.1.57,0.0009553520344939562,0.02012109022999478,0.041049957275390625,0.00011301040649414062,5852
192.168.1.41->192.168.1.56,0.0008945179436696441,0.02012193967003921,0.03580188751220703,0.00017714500427246094,5852
192.168.1.41->192.168.1.51,1.400390149296304,1.5034503905804126,3.0343880653381348,0.015772104263305664,78
192.168.1.21->192.168.1.41,0.001219828887672312,0.0017754939363523105,0.019958019256591797,0.0,66313
192.168.1.41->192.168.1.53,0.006474618829300795,0.006591919928889259,0.026829004287719727,0.0,17861
192.168.1.52->192.168.1.41,0.0284124016001769,0.08664527996299193,0.11972403526306152,0.0017189979553222656,1359
192.168.1.41->192.168.1.58,0.006498541668770253,0.006591905378147309,0.02830195426940918,0.0,17861
192.168.1.252->192.168.1.41,0.1267245339309245,0.10019041387145321,0.43239307403564453,0.004170894622802734,1175
192.168.1.57->192.168.1.41,0.0009795016880498038,0.019969677338668914,0.04185318946838379,0.0001919269561767578,5896
192.168.1.41->192.168.1.52,0.028414938369111534,0.08716380808088514,0.11801695823669434,0.0025091171264648438,1351
192.168.1.43->192.168.1.41,0.0022183948402803807,0.003916321176400953,0.024517059326171875,0.0,30062
192.168.1.41->239.192.6.28,0.000637636790470298,0.010137967193690235,0.032321929931640625,1.0967254638671875e-05,11614
192.168.1.41->239.192.6.29,0.0006517852652424623,0.01013679214531406,0.030562162399291992,1.0967254638671875e-05,11615
192.168.1.130->192.168.1.41,0.011755288353665804,0.030485670296709268,0.06355595588684082,1.6927719116210938e-05,3862
192.168.1.46->192.168.1.41,0.0009088621169748381,0.019969881945893966,0.038522958755493164,0.0014162063598632812,5896
192.168.1.133->224.0.1.129,8.54757467931903,25.762842337290447,36.803714990615845,15.98025894165039,4
192.168.1.120->239.192.15.255,0.0005489715851672211,0.009999996700657869,0.03189802169799805,1.0013580322265625e-05,11774
192.168.1.121->224.0.1.129,16.69316328904017,21.89943218231201,43.6696240901947,3.376315116882324,6
192.168.1.112->224.0.1.129,0.0,55.844679832458496,55.844679832458496,55.844679832458496,2
192.168.1.41->239.192.6.31,0.0006388368298986581,0.010137967193690235,0.03232288360595703,1.1205673217773438e-05,11614
192.168.1.41->239.192.6.30,0.0006947651890205225,0.010138062782849308,0.03547191619873047,1.0013580322265625e-05,11614
192.168.1.55->192.168.1.41,0.0009393248067025024,0.01996949821129201,0.040595054626464844,0.00015687942504882812,5896
192.168.1.41->192.168.1.252,0.1673815396619556,0.139693579594483,0.49109697341918945,0.0009150505065917969,843
192.168.1.54->192.168.1.41,0.0009658789557676139,0.019969876000596062,0.04215288162231445,0.00019311904907226562,5896
192.168.1.11->192.168.1.41,0.0011645173425249952,0.0017754869109285023,0.018645048141479492,0.0,66313
192.168.1.12->192.168.1.41,0.0005680362268721982,12.999347507953644,13.000066995620728,12.998523950576782,9
192.168.1.41->192.168.1.70,0.0006722883345646289,0.01013049419955536,0.02984309196472168,1.1920928955078125e-05,11622
192.168.1.134->224.0.1.129,0.0,40.30151915550232,40.30151915550232,40.30151915550232,2
192.168.1.113->224.0.1.129,6.1981442369876305,29.694955666859943,38.067091941833496,23.260334968566895,4
192.168.1.22->239.192.35.192,0.0010591531520218159,0.05199836978752214,0.07296895980834961,0.03130197525024414,2264
192.168.1.70->192.168.1.41,0.0005921947700334861,0.00999247356926724,0.03344106674194336,1.0013580322265625e-05,11782
192.168.1.1->192.168.1.255,1.3280701841263673,1.619640999370151,3.5718190670013428,0.3252699375152588,73
192.168.1.22->192.168.1.41,0.00052230292538767,12.999291002750397,13.000073909759521,12.998185873031616,9
192.168.1.1->255.255.255.255,0.001778104703453569,3.0004812918211283,3.010939121246338,2.99819278717041,39
192.168.1.140->224.0.1.129,19.874075055122375,24.423699975013733,44.29777503013611,4.549624919891357,3
192.168.1.51->192.168.1.41,0.008710534994479395,3.0427304945494,3.060992956161499,3.02951717376709,39
192.168.1.140->239.192.18.127,0.0005687265527328015,0.009999992690900062,0.03314208984375,1.1920928955078125e-05,11774
192.168.1.142->224.0.1.129,8.547653831764038,25.762855370839436,36.80439615249634,15.980998039245605,4
192.168.1.110->239.192.14.191,0.0005645839801900536,0.009999613574763928,0.03466296195983887,1.0967254638671875e-05,11773
192.168.1.140->192.168.1.41,0.01171119737255825,0.03046985065076069,0.05350089073181152,0.00023484230041503906,3864
169.254.112.251->239.255.255.250,22.904190397162633,14.968531608581543,60.00137805938721,0.9999699592590332,6
192.168.1.41->192.168.1.11,0.005569333510344113,0.0032816728598618486,0.027408838272094727,0.0,35873
192.168.1.41->192.168.1.12,0.0007043357941699233,0.01013155439018998,0.031221866607666016,1.0967254638671875e-05,11621
192.168.1.120->224.0.1.129,12.544756412506104,49.14480447769165,61.689560890197754,36.60004806518555,3
192.168.1.41->192.168.1.130,0.02342421617671063,0.11810225391962442,0.1455991268157959,0.00041103363037109375,997
192.168.1.41->224.0.1.129,0.40910083932562163,0.3197910955043438,0.9909889698028564,3.2901763916015625e-05,367
192.168.1.111->224.0.1.129,6.199784860175002,29.69520902633667,38.06984305381775,23.259531021118164,4
192.168.1.130->224.0.1.129,0.0,61.669769048690796,61.669769048690796,61.669769048690796,2
192.168.1.53->192.168.1.41,0.0026752167023894984,0.003916230255808099,0.024447202682495117,0.0,30064
192.168.1.41->192.168.1.140,0.02347607814299136,0.11798379748850434,0.1455979347229004,0.0002410411834716797,998
192.168.1.1->224.0.0.252,2.434467385381825,2.4832293632182667,4.97157096862793,0.09869003295898438,48
192.168.1.58->192.168.1.41,0.004189635966716983,0.003916224093707312,0.024199962615966797,0.0,30064
192.168.1.41->192.168.1.22,0.002667342118677422,0.04994726869165391,0.07039403915405273,0.0022139549255371094,2357
192.168.1.41->192.168.1.120,0.023516042839792774,0.11810760852323479,0.12795114517211914,0.0018160343170166016,997
192.168.1.122->224.0.1.129,17.510234616567367,28.39516266187032,53.13349199295044,15.064867973327637,4
192.168.1.44->192.168.1.41,0.011530923130600142,3.046023262174506,3.069331169128418,3.029623031616211,39
192.168.1.143->224.0.1.129,8.54840216317726,25.762609322865803,36.80490779876709,15.979593992233276,4
192.168.1.120->192.168.1.41,0.02776230500020964,0.059504896809371,0.1130979061126709,0.0008368492126464844,1978
192.168.1.60->224.0.0.1,0.0,60.15872097015381,60.15872097015381,60.15872097015381,2
192.168.1.41->192.168.1.31,0.0059029929875962,0.003941348429835001,0.02676701545715332,0.0,29872
192.168.1.45->192.168.1.41,0.0009020177579745941,0.019969908396402995,0.038522958755493164,0.0014171600341796875,5896
192.168.1.132->224.0.1.129,24.38712364152302,34.97311234474182,59.977471113204956,1.8994908332824707,4
192.168.1.41->192.168.1.110,0.02337450477326209,0.11798171222269714,0.14544010162353516,0.00047087669372558594,998
192.168.1.131->224.0.1.129,0.0,56.07219481468201,56.07219481468201,56.07219481468201,2
192.168.1.110->192.168.1.41,0.024923487222403243,0.05944848361793584,0.10157203674316406,0.00018286705017089844,1980
192.168.1.110->224.0.1.129,16.56179155010343,26.334550499916077,52.09915900230408,6.199769020080566,5
192.168.1.31->192.168.1.41,0.0017850113526619027,0.0021710685240868017,0.02232503890991211,0.0,54229
192.168.1.114->224.0.1.129,5.15623140335083,32.91291952133179,38.06915092468262,27.756688117980957,3
192.168.1.41->192.168.1.46,0.0008960805271912361,0.020120740731421383,0.03690791130065918,0.0004439353942871094,5852
192.168.1.41->192.168.1.44,1.3867382129908263,1.5034491179825424,3.0394959449768066,0.017139196395874023,78
192.168.1.41->192.168.1.45,0.0008852236263773097,0.02012041702655172,0.03690814971923828,0.00029778480529785156,5852
192.168.1.41->192.168.1.43,0.006493787038729457,0.006592289158168395,0.028300046920776367,0.0,17860
192.168.1.41->192.168.1.21,0.005575080204477917,0.0032815813596216792,0.026546001434326172,0.0,35874
192.168.1.130->239.192.17.63,0.0005311925111152717,0.010000017417739872,0.031655073165893555,1.0013580322265625e-05,11774
192.168.1.56->192.168.1.41,0.0009865682712922976,0.01996921902395403,0.045327186584472656,0.00019288063049316406,5895
192.168.1.144->224.0.1.129,9.783110526296706,26.248037338256836,39.413103103637695,15.981123924255371,4
192.168.1.123->224.0.1.129,7.374870430993118,25.219595670700073,33.25033402442932,15.441110849380493,4
192.168.1.12->239.192.34.128,0.000692447764602883,0.01200367843346339,0.03804898262023926,1.5020370483398438e-05,9809
192.168.1.141->224.0.1.129,9.782662736171092,26.248450597127277,39.41256904602051,15.981255769729614,4
169.254.112.251->224.0.0.252,0.0,56.49965214729309,56.49965214729309,56.49965214729309,2
