s->d,std,mean,max,min,num
192.168.1.41->192.168.1.55,0.0008527539223080397,0.020118347734524398,0.038632869720458984,3.504753112792969e-05,5741
192.168.1.41->192.168.1.54,0.0009309531748143542,0.020119316965512935,0.038491010665893555,0.0002110004425048828,5740
192.168.1.41->192.168.1.57,0.0009054269736365123,0.020119395524413976,0.03831601142883301,5.4836273193359375e-05,5740
192.168.1.41->192.168.1.56,0.000924713992163295,0.02011960444705456,0.03849196434020996,0.00023794174194335938,5740
192.168.1.41->192.168.1.51,1.3874838382450931,1.5045466009775799,3.0293660163879395,0.015119075775146484,76
192.168.1.21->192.168.1.41,0.0014525277434037226,0.0017754941888226635,0.029767990112304688,0.0,65043
192.168.1.41->192.168.1.53,0.006551636685639226,0.006591501253927008,0.029829978942871094,0.0,17519
192.168.1.52->192.168.1.41,0.029002561526028623,0.08627168581212913,0.1044778823852539,0.0019288063049316406,1338
192.168.1.41->192.168.1.58,0.006570162384114457,0.006591813955449639,0.029773950576782227,0.0,17519
192.168.1.252->192.168.1.41,0.15749360547532285,0.10916624281845237,0.6715760231018066,0.004221200942993164,1055
192.168.1.57->192.168.1.41,0.0008726288690815058,0.019969107204966377,0.038311004638671875,0.0004220008850097656,5783
192.168.1.41->192.168.1.52,0.029188060570467623,0.08659189116131435,0.1315929889678955,0.0006120204925537109,1333
192.168.1.43->192.168.1.41,0.0023586472035358433,0.003916261405309623,0.03048992156982422,0.0,29488
192.168.1.41->239.192.6.28,0.0005340283336938403,0.010136359549137983,0.03841114044189453,2.193450927734375e-05,11393
192.168.1.41->239.192.6.29,0.00055797604280829,0.010135488856709405,0.038290977478027344,1.5020370483398438e-05,11393
192.168.1.130->192.168.1.41,0.011764463172824481,0.030471114566125414,0.04676198959350586,2.6941299438476562e-05,3790
192.168.1.46->192.168.1.41,0.0008424932539777124,0.01997287094830188,0.03831195831298828,0.00042319297790527344,5782
192.168.1.133->224.0.1.129,12.903003304814161,24.220311323801678,42.28061008453369,12.931744813919067,4
192.168.1.120->239.192.15.255,0.000566662383970161,0.010000017573639997,0.03822898864746094,1.2874603271484375e-05,11548
192.168.1.121->224.0.1.129,7.208293557167053,37.32606041431427,44.53435397148132,30.117766857147217,3
192.168.1.112->224.0.1.129,11.553104779739382,32.70621871948242,48.11366820335388,20.294073820114136,4
192.168.1.41->239.192.6.31,0.0005125641063084332,0.010136113512549507,0.029838085174560547,1.621246337890625e-05,11393
192.168.1.41->239.192.6.30,0.0005282088689321576,0.010136354275131494,0.03841209411621094,2.09808349609375e-05,11393
